company,email,employees,funding_stage,linkedin_url,industry,location,converted
TechNova,ceo@technova.com,120,Series A,https://linkedin.com/company/technova,Software,USA,1
GreenWorld,info@greenworld.org,45,Seed,,Renewable Energy,UK,0
HealthAI,contact@healthai.io,300,Series B,https://linkedin.com/company/healthai,Healthcare,Canada,1
FinNext,sales@finnext.com,800,Series C,https://linkedin.com/company/finnext,Finance,India,1
EduSpark,eduspark@gmail.com,20,Pre-Seed,,EdTech,USA,0
AgriGrowth,info@agrigrowth.com,150,Series A,https://linkedin.com/company/agrigrowth,Agriculture,Brazil,1
MediCareX,hello@medicarex.com,90,Seed,https://linkedin.com/company/medicarex,Healthcare,Germany,1
SolarEdge,contact@solaredge.org,400,Series B,https://linkedin.com/company/solaredge,Renewable Energy,Spain,1
RoboWorks,ceo@roboworks.io,75,Series A,https://linkedin.com/company/roboworks,Robotics,USA,1
FinWise,support@finwise.com,600,Series C,https://linkedin.com/company/finwise,Finance,Singapore,0
EduCore,team@educore.edu,55,Seed,https://linkedin.com/company/educore,EdTech,Australia,1
NeuroTech,info@neurotech.com,350,Series B,https://linkedin.com/company/neurotech,AI,USA,1
GreenFuel,greenfuel@gmail.com,25,Pre-Seed,,Renewable Energy,India,0
AutoDrive,contact@autodrive.com,200,Series A,https://linkedin.com/company/autodrive,Automotive,UK,1
BioLife,info@biolife.org,480,Series B,https://linkedin.com/company/biolife,Biotech,Canada,1
CyberNet,ceo@cybernet.com,1000,Series C,https://linkedin.com/company/cybernet,Cybersecurity,USA,1
ShopEase,hello@shopease.com,60,Seed,https://linkedin.com/company/shopease,E-commerce,Germany,1
AquaPure,info@aquapure.org,140,Series A,https://linkedin.com/company/aquapure,WaterTech,France,1
CloudVision,team@cloudvision.com,220,Series B,https://linkedin.com/company/cloudvision,Cloud,USA,1
SmartBuild,contact@smartbuild.com,310,Series B,https://linkedin.com/company/smartbuild,Construction,India,0
